video_id,title,channel_name,published_date
-UUoeVIxA5A,オトメロディー / 高橋美佳子（cover）えま★おうがすと/にじさんじ所属,えま★おうがすと,2021-03-21T13:30:12Z
-m3B1jSCLVk,コールボーイ (Call Boy) - syudou【 Mika Melatika - Cover/ 歌ってみた】,Mika Melatika【NIJISANJI・にじさんじ】,2021-11-24T12:00:11Z
-aB6MQU8l1s,【バレンタインに】インドア系ならトラックメイカー／湊あくあ【歌ってみた】,Aqua Ch. 湊あくあ,2019-02-14T12:43:43Z
-ZrlcPkUzYk,ダーリンダンス ／かいりきベア (covered by 一あやね),一あやね / Ayane Ninomae Ch.,2020-09-11T15:00:11Z
-Yhw61-oIpw,【それな】推し肌恋しい 歌ってみた【相羽ういは/にじさんじ】,相羽ういは〖Aiba Uiha〗にじさんじ所属,2021-09-12T11:00:12Z
-c3QCdjnRmU,【カズーで演奏してみた】HOLOGRAM CIRCUS - Omaru Polka【Kazoo Cover】,Polka Ch. 尾丸ポルカ,2021-04-06T14:16:26Z
-TKBELQqZ3o,【歌枠/SING/カラオケルーム】気になるから歌ってみたい！！【#ときのそら生放送 /ホロライブ】,SoraCh. ときのそらチャンネル,2023-02-09T13:36:52Z
-a4Qt601vbc,歪鏡・シェンショウジン(Waikyou Shensyoujin) Short ver. - 小日向未来(CV:井口裕香)  // covered by 凪原涼菜【IMAGINATION vol.4】,凪原涼菜 / SUZUNA NAGIHARA,2022-02-09T11:00:02Z
-gJOyj7Qz0I,【歌ってみた】走れ  / アステル 夕刻ロベル,astel ch.アステル,2021-12-18T09:00:14Z
-kQv5RBomDM,ANIMA / Aster Arcadia Cover【OFFICIAL MUSIC VIDEO】,Aster Arcadia 【NIJISANJI EN】,2022-09-25T17:30:08Z
-cNay-ok_N0,ラブヘイト / Rain Drops (covered by 緑仙),緑仙 / Ryushen,2022-01-24T10:00:12Z
-w_bDbQPpcs,JOINT - 川田まみ // covered by 芦澤 サキ,芦澤サキ / SAKI ASHIZAWA,2020-11-13T10:00:00Z
-yMVgOze-qY,【新衣装】スイートマジック 歌ってみた【相羽ういは/北小路ヒスイ/にじさんじ】,相羽ういは〖Aiba Uiha〗にじさんじ所属,2022-08-20T11:00:12Z
-jNKzusGlFs,キャットラビング / covered by カグラナナ,カグラナナchannel／ななかぐら,2022-04-09T12:00:13Z
-bZk9wmpgnI,プラネタリウムの真実  / 夏代孝明 (covered by 甲斐田晴),甲斐田 晴 / Kaida Haru【にじさんじ】,2021-06-06T11:00:12Z
-hviqvE8DF0,KING - Kanaria / Cover by Chae Ara,채아라 / Ara Chae 【NIJISANJI KR】,2021-02-06T12:00:11Z
05B3WdVzJ0w,EXCITE - 三浦大知 // covered by 道明寺ここあ,道明寺ここあ / COCOA DOMYOJI,2022-08-23T10:00:00Z
-dSIvAhl-To,ロキ / by 犬山たまき×しぐれうい【歌ってみた】,犬山たまき / 佃煮のりおチャンネル,2021-01-19T11:00:12Z
-gfz6uArW8A,#2【THE RIKKA TONE】カワキヲアメク / 美波 covered by 律可,Rikka ch.律可,2021-04-02T11:00:18Z
-oA68uuTXXA,愛言葉Ⅲ / 音霊魂子　cover,たまこ。Ch./あおぎり高校,2022-12-08T10:00:10Z
03bbzlaPhvQ,ヒトリゴト // covered by 桃鈴ねね＆雪花ラミィ【歌ってみた】,Lamy Ch. 雪花ラミィ,2022-03-18T10:00:14Z
-yLQTDAhrbM,【歌ってみた】マフィア (Mafia) / wotaku coverd by ベルモンド・バンデラス【にじさんじ】,ベルモンド・バンデラス,2022-11-03T11:00:11Z
-cRE-9r5ajU,ロウワー / Covered by フレン・E・ルスタリオ,フレン・E・ルスタリオ,2023-01-31T12:00:06Z
063INZy-ZtM,Mr.Music /れるりり&ロンチーノ=ペペ full covered by ねぽらぼ,Nene Ch.桃鈴ねね,2021-08-13T11:45:12Z
-rLmtgLaQZk,すーぱー☆あふぇくしょん(Super☆Affection) covered by 白上フブキ/犬山たまき/ドーラ/東堂コハク/郡道美玲【歌ってみた】,【3年0組】郡道美玲の教室,2021-08-26T11:00:14Z
-qYBYt1z5_M,心絵 (KOKOROE) - ロードオブメジャー // covered by 道明寺ここあ,道明寺ここあ / COCOA DOMYOJI,2021-10-03T10:00:00Z
02KORb0SqUk,【COVER】 The Dragonborn Comes / Miori Celesta,Miori Celesta,2023-01-09T01:00:00Z
095aOOac3hU,東京フラッシュ (Tokyo Flash) - Vaundy // covered by 道明寺ここあ,COCOA CHANNEL,2020-11-23T10:00:00Z
-lHS3i2ftP8,【歌ってみた】アコースティック8月まとめ【樋口楓 acoustic cover】,樋口楓【にじさんじ所属】,2020-09-06T10:00:13Z
-gqXGt-GSuo,INVOKE - T.M.Revolution // covered by 凪原涼菜,Meteopolis from RIOT MUSIC,2023-03-15T10:00:00Z
06hhsqcJjQI,【歌ってみた】からくり卍ばーすと【にじさんじ/える/長尾景】,える / Elu【にじさんじ】,2021-12-05T11:00:15Z
014Knp0Obt8,緑黄色社会 『Shout Baby』Covered by 星乃めあ【歌ってみた】（TVアニメ『僕のヒーローアカデミア』4期「文化祭編」EDテーマ / MY HERO ACADEMIA ENDING）,MaiR Official YouTube,2020-05-03T13:00:13Z
01RT3eeeEWk,【歌ってみた】透明少女 covered by 花譜,花譜,2019-09-20T09:39:39Z
09Px3t9B7yo,リドー - 尾丸ポルカ(cover),Polka Ch. 尾丸ポルカ,2022-12-29T10:00:11Z
-xNMUVLo1h4,花に亡霊 covered by 山神カルタ / 夕陽リリ,山神 カルタ / Karuta Yamagami,2022-05-25T12:00:00Z
0-DEBBvrQBI,君の神様になりたい。 / 鈴木勝（cover）,鈴木勝 / Suzuki Masaru【にじさんじ】,2019-09-26T13:00:17Z
-wNSFmqhQsU,【ゾンビランドサガ】フランシュシュ「佐賀事変」/ 星街すいせい with ホロライブファンタジー(Cover),Suisei Channel,2020-05-27T10:00:12Z
-wV0AH0u8ik,楓 / スピッツ (Covered by 夏色まつり&律可),Matsuri Channel 夏色まつり,2020-09-15T13:00:11Z
08J6WAmX100,【MV】Blooming in the Mud - ウォルピスカーター || HAKOS BAELZ X TOKOYAMI TOWA COVER,Hakos Baelz Ch. hololive-EN,2022-12-26T03:00:07Z
0Dq0RJzUU1U,【輪るピングドラム 挿入歌】生存戦略ー‼︎の曲を歌ってみた【ROCK OVER JAPAN - HHH 】,Saki Ch.亜玖魔サキ,2021-05-28T13:00:15Z
074PU-5nIig,【俺ガイル】かしこガール／星川サラ cover【一色いろは】,星川サラ / Sara Hoshikawa,2020-04-15T15:00:12Z
06FKQDbR9qM,YOASOBI - 夜に駆ける / Yoru ni Kakeru (Ecky's city pop remix) 【Miyu Ottavia | Cover】,Miyu Ottavia 【NIJISANJI ID】,2020-11-15T13:00:12Z
0I8TKmOuI84,【cover】神っぽいな / 白雪巴,白雪 巴/Shirayuki Tomoe,2021-12-27T13:00:13Z
09xVC-xun_c,【MV】HAPPY HALLOWEEN - junky || HAKOS BAELZ COVER,Hakos Baelz Ch. hololive-EN,2021-10-30T04:30:12Z
0DzqJQggP9s,トンデモワンダーズ - 尾丸ポルカ(cover),Polka Ch. 尾丸ポルカ,2021-11-20T10:00:13Z
03GYqfL284I,エンヴィーベイビー：歌ってみた：麻婆豆腐,麻婆豆腐,2021-05-04T04:12:10Z
-zU4GdgZTIA,残酷な天使のテーゼ (A Cruel Angel's Thesis) - 高橋洋子 // covered by 凪原涼菜,Meteopolis from RIOT MUSIC,2023-04-05T12:00:00Z
0AFBaZp1wPU,ERASED ED "Sore wa Chiisana Hikari no Youna" English Cover ft. @Dima Lancaster,Bao Ch. 海の幽霊,2016-05-04T23:02:29Z
0CYTRWfs8lw,MKDR 「妄想感傷代償連盟」歌ってみた【＊なみりん】,*namirin,2018-09-23T10:00:17Z
09z87O1CgIw,【歌ってみた】KING / Kanaria【Kotone(天神子兎音)cover】,天神 子兎音 Tenjin Kotone,2020-09-11T11:00:00Z
0OC2LsGZmxk,点描の唄／Mrs. GREEN APPLE (feat.井上苑子) covered by 亜玖魔サキ×水蜜もも,Momo Ch.水蜜もも🍯🍑,2021-11-27T01:14:18Z
0D-tcQjYf28,『歌ってみた』エンヴィーベイビー / Astelleda with Kureiji Ollie,astel ch.アステル,2021-03-27T11:00:15Z
0BSzmOkQoaQ,【歌ってみた】二息歩行 (Reloaded) / DECO*27【Kotone(天神子兎音)cover】,天神 子兎音 Tenjin Kotone,2020-08-28T11:00:00Z
06t2YmlYaP0,フロムトーキョー / 笹木咲 社築(cover),笹木咲 / Sasaki Saku,2023-04-10T10:00:10Z
0FK-xwnLOUw,クリスマス・イブ Rap - KICK THE CAN CREW (Cover) / KMNZ,KMNZ,2022-12-18T12:28:24Z
09SmuZgwGsM,インドア系ならトラックメイカー covered by Uto ＆ Nabi,Uto Ch. 天使うと,2021-05-31T02:00:12Z
0NPrLEj-Fz8,【歌ってみた/アイカツ！】Trap of Love【にじさんじ/愛園愛美】,愛園 愛美/Aizono Manami,2021-08-25T14:00:11Z
0Dr_qvnXJPE,君の知らない物語(supercell) / 夏色まつり cover【アコギver】,Matsuri Channel 夏色まつり,2019-08-31T14:00:09Z
0IjbUTSKM6g,【歌ってみた】🎸God knows...🎸/ Covered by セフィナ【にじさんじKR】,세피나 / Seffyna 【NIJISANJI KR】,2021-06-16T11:00:14Z
0IsUxWIvk8E,【歌ってみた】LONELIEST BABY【 i's - 樋口楓 / リゼ・ヘルエスタ / 竜胆尊 cover】,竜胆 尊 / Rindou Mikoto,2020-07-18T11:00:13Z
0LGn4esfu2M,【HACHI】光の向こうへ  / AZKi【歌ってみた】,AZKi Channel,2021-08-01T12:00:12Z
0Jjz_0gdfmE,Virtual to LIVE - FutureBass Midy Remix （covered by 瀬戸美夜子）,瀬戸 美夜子 - Miyako Seto,2020-01-30T14:00:15Z
0IAeI2TcGC0,Q&A リサイタル！Special Chorus Ver. (Q&A RECITAL！) - 戸松遥 // covered by 松永依織,松永依織 / IORI MATSUNAGA,2022-02-05T10:00:00Z
0Vq4fWh3RMg,【Original】NON STOP SOUL!!!｜Rumi/懶貓子,Rumi ch. 懶貓子,2021-08-01T10:00:11Z
0EXrHs4yB_Q,キュートなカノジョ/syudou【Covered by 朝日南アカネ/にじさんじ】,朝日南アカネ / Asahina Akane 【にじさんじ】,2021-05-04T08:00:17Z
0OJS3fy7Jy8,【歌ってみた】美しく、闇 covered by 花譜,花譜,2019-11-18T09:00:39Z
0J-iDadG3kg,【歌ってみた】フィクサー -ぬゆり/covered by 暁おぼろ（LiLYPSE） ＃11,LiLYPSE-リリップス,2021-08-29T15:00:12Z
0Sy_VDoJyrI,【ハニスト】Happy Halloween 歌ってみた/HoneyStrap（周防パトラ・島村シャルロット・西園寺メアリ・堰代ミコ）【周防パトラ / ハニスト】,Patra Channel / 周防パトラ 【ハニスト】,2019-10-27T13:00:10Z
0OOjdwiHh5Q,アウターサイエンス / じん (covered by 緑仙),緑仙channel,2019-04-21T10:58:46Z
0Q2xqKItWwI,Tokyo Ghoul:re OP “Aspyxhia” Cover,Bao Ch. 海の幽霊,2018-09-11T18:31:53Z
0Lbkf03EyZg,絶刀・天羽々斬 (Zettou Ame no Habakiri) - 風鳴翼(水樹奈々) // covered by 道明寺ここあ,道明寺ここあ / COCOA DOMYOJI,2021-11-18T10:00:00Z
0OtNQEpSeIA,チューリングラブ /Cover 湊あくあ/猫又おかゆ【ホロライブ】,Aqua Ch. 湊あくあ,2020-09-27T09:00:12Z
0firv69LkgI,灰色と青/常闇トワ×星街すいせい(cover),Towa Ch. 常闇トワ,2021-12-23T10:00:12Z
0_6j9JJxEh0,【 #水無世燐央3D 】ジャンキーナイトタウンオーケストラ / すりぃ 【covered by 水無世燐央 Minase Rio 】,Rio Ch. 水無世燐央 - UPROAR!! -,2022-12-29T09:00:00Z
0UNOO_50Y8Q,君はロックを聴かない ／ あいみょん(cover) by 獅子神レオナ,獅子神レオナ/レオナちゃんねる,2019-03-27T11:00:00Z
0aMWW0oZjxs,【P家】ハッピー・ハッピー・フレンズ(cover)【Vtuber】,乙女おと / Otome Oto,2021-02-17T03:00:01Z
0PN_xbRCxjk,【3D LIVE映像】フォニィphonyー雨の街で歌ってみたー【猫又おかゆ×アキ・ローゼンタール】,アキロゼCh。Vtuber/ホロライブ所属,2022-06-04T10:00:11Z
0VsHbIfIgwc,僕が死のうと思ったのは (Boku ga shinouto omottanoha) - amazarashi // covered by 芦澤サキ,芦澤サキ / SAKI ASHIZAWA,2021-06-14T12:00:01Z
0ZvTO6mbR-8,『花に亡霊』歌ってみた - 出雲霞,《IzumoKasumi》Project channel【にじさんじ】,2020-09-24T12:00:30Z
0YX80lIi36w,【歌ってみた】DADDY ! DADDY ! DO !【Ayunda Risu & 荒咬オウガ】,Ayunda Risu Ch. hololive-ID,2021-01-15T12:00:13Z
0VSFpqOjAkY,「雨音ノイズ」Amaoto Noise 歌ってみた【＊なみりん】,*namirin,2016-09-27T17:20:47Z
0UuAmgo2CJ4,フタリボシ   (covered by いのるぱんだ),シスター・クレア -SisterClaire-,2020-07-07T11:00:12Z
0j1pPKWYz3s,【乙女おと】「ロイツマ(Ievan Polkka)」無加工一発録りで歌ってみた【新人Vtuber／ちゅこらら】,乙女おと / Otome Oto,2019-06-01T09:57:49Z
0UejesKgIzo,ちゅ、多様性。(Chu,Tayousei.) - ano // covered by 凪原涼菜,Meteopolis from RIOT MUSIC,2023-02-23T12:00:00Z
0fTmEfBvp50,【誕生日に】Ubiquitous dB／湊あくあ【歌ってみた】,Aqua Ch. 湊あくあ,2019-12-08T13:15:11Z
0hXTHQEyoUg,【歌ってみた】残響散歌 - Aimer / covered by MaiR【オリジナルMV】（テレビアニメ「鬼滅の刃」遊郭編オープニングテーマ）,MaiR Official YouTube,2022-02-15T11:00:13Z
0kA9HQmHm9c,UNDERTALE “Stronger Than You” Cover,Bao Ch. 海の幽霊,2016-02-12T22:33:41Z
0nTX41VJvsY,他人事の音がする / あめのむらくもP  (covered by 緑仙),緑仙channel,2019-06-09T10:57:47Z
0h0eBUV6rJA,【歌ってみた】捧げたい covered by 花譜,花譜,2019-08-30T12:00:14Z
0wLq9LQbFlM,オートファジー  / Covered by 甲斐田晴【毎日ワンコーラス投稿：７日目】,甲斐田 晴 / Kaida Haru【にじさんじ】,2022-04-10T11:00:02Z
0nZS7GMAxak,プラチナ (Platinum) - 坂本真綾 // covered by 凪原涼菜,凪原涼菜 / SUZUNA NAGIHARA,2021-07-20T10:00:00Z
0hP3Zj7pOOo,Alchemy - Girls Dead Monster // covered by 道明寺ここあ,道明寺ここあ / COCOA DOMYOJI,2021-07-12T10:00:00Z
0nuLQ7W9ykA,【#アルランディス3D】What a Pastaful World ～なんてスパゲティ世界～ 歌ってみた【アルランディス/ホロスターズ】,Aruran Ch. アルランディス,2021-09-05T12:00:11Z
0ziNItsX3iQ,アディショナルメモリー／天音かなた(cover),Kanata Ch. 天音かなた,2021-07-10T11:00:12Z
0yrssbRMAfU,フォニイ / Covered by ローレン・イロアス,ローレン・イロアス / Lauren Iroas【にじさんじ】,2021-10-14T11:00:13Z
0rZtdRJ_7Eg,死神 / 米津玄師 (Covered by 夢追翔)【歌ってみた/にじさんじ】,夢追翔のJUKE BOX,2022-01-09T11:00:14Z
0oJBGStYCRo,Los! Los! Los! - ターニャ・デグレチャフ(悠木碧) ( Cover ) / VESPERBELL カスカ,VESPERBELL,2021-11-25T11:00:01Z
0p7P9XRoeEo,【コラボ記念】ミラクルショッピング ～ドン・キホーテのテーマ～ / 夜空メル・紫咲シオン・白銀ノエル・宝鐘マリン【cover】,hololive ホロライブ - VTuber Group,2021-10-22T09:00:12Z
0lo8ReB_YOU,「OVER」歌ってみた【＊なみりん】,*namirin,2016-07-21T09:42:44Z
0nqghnTCbvE,ヴァンパイア / DECO*27 (covered by 緑仙),緑仙channel,2021-05-10T09:00:14Z
0oMT_6Zu4a4,ねぇねぇねぇ。／Covered by紫咲シオン＆湊あくあ【歌ってみた】,Shion Ch. 紫咲シオン,2022-03-27T11:00:28Z
13ezi1eXnUk,【cover】さくらの夜 / ねじ式【白雪 巴/にじさんじ】,白雪 巴/Shirayuki Tomoe,2021-04-30T12:00:13Z
0iIT4oX6bs0,【メイキング映像】女々しくて (covered by 卯月コウ, 剣持刀也, シェリン・バーガンディ),にじさんじ,2021-02-13T12:15:01Z
0qrap3aJiUk,【歌ってみた】ノーチラス - ヨルシカ / 星乃めあ【オリジナルMV】,MaiR Official YouTube,2020-04-16T13:00:13Z
0vSQyboReGo,【女性が歌う】猫 - DISH// / covered by 星乃めあ【PianoVer】,MaiR Official YouTube,2020-10-12T13:00:11Z
11goNMjXexs,Renai Circulation「恋愛サーキュレーション」by Matsuro Meru【歌ってみた】,Meruru,2021-08-04T00:00:10Z
0rUBAHznaNg,グッバイ宣言  (Goodbye Sengen) - Chinozo // covered by 長瀬有花,長瀬有花 / YUKA NAGASE,2021-06-06T10:00:01Z
0rKTlVxMp_o,東京フラッシュ - Vaundy (Cover) / KMNZ LITA,KMNZ LITA,2020-05-14T12:00:00Z
18ZQoV_7Z-k,Be The One - PANDORA feat.Beverly // covered by 道明寺ここあ,COCOA CHANNEL,2020-10-16T10:00:02Z
0rTFZSMucZY,【Taka Radjiman】公然の秘密 / Kouzen no Himitsu 【Cover】| Thank you for 10.000 Subscribers!,Taka Radjiman【NIJISANJI ID】,2020-01-27T13:00:12Z
0xfkRdHHHRQ,【歌ってみた】夢追翔、「完全感覚Dreamer」を歌わせていただきました。【にじさんじ】,夢追翔のJUKE BOX,2019-04-19T13:27:45Z
0qq4lt2Pbws,【歌ってみた】KING / Kanaria / covered by 一生カイ,Issei Kai Ch. 一生カイ,2021-03-07T13:30:25Z
12b4Gob1TAI,魔法の絨毯 (Mahou no Juutan) - 川崎鷹也 // covered by 長瀬有花,長瀬有花 / YUKA NAGASE,2021-06-24T10:00:00Z
16y9gYWRTXg,Mafumafu “No Trespassing” English Cover 立ち入り禁止,Bao Ch. 海の幽霊,2017-01-28T04:43:27Z
0scxODT68X4,ウミユリ海底譚 / 猫又おかゆ(cover),Okayu Ch. 猫又おかゆ,2020-02-22T12:00:15Z
16l7J_K1R6Y,『ゴーストルール』歌ってみた - 出雲霞,《IzumoKasumi》Project channel【にじさんじ】,2019-03-01T13:23:23Z
0vwar3rxeL8,【Dearさいねママ】Happy Birthday to you 歌ってみた【#さいね姉妹 】,神城くれあ/Kurea Channel,2021-06-24T14:47:56Z
181oJs-iaDE,ニア / 甲斐田晴 (cover) 【歌ってみた】,甲斐田 晴 / Kaida Haru【にじさんじ】,2021-02-07T11:45:12Z
10YYB1UkOjs,【踊ってみた】アナタボシ／MilkyWay 歌ってみた【相羽ういは/にじさんじ】,相羽ういは〖Aiba Uiha〗にじさんじ所属,2021-09-04T11:00:13Z
13yOYYsxmPY,【歌ってみた】ボッカデラベリタ / 柊キライ【Kotone(天神子兎音)cover】,天神 子兎音 Tenjin Kotone,2020-09-04T11:00:01Z
11gy3LiuFI4,【#KR_1ST_ANNIVERSARY】Connecting Cover by. NIJISANJI KR,채아라 / Ara Chae 【NIJISANJI KR】,2021-01-25T11:00:11Z
1301Kgd-Nv4,キラークイーン/Ayase/covered by ブラックアイ【歌ってみた】,A.I.Channel,2020-06-12T10:00:02Z
1B9NbTmIpLo,ブレンドキャラバン - ときのそら(弾き語りCover) / 星乃めあ【歌ってみた】デビューアルバム 『Dreaming!』リリースおめでとうございます！（Short ver.）,MaiR Official YouTube,2019-03-27T10:57:45Z
14fvzONgOuU,【MV】YATTA - covered by【TEMPANTSU】,Axel Syrios Ch. HOLOSTARS-EN,2023-04-02T03:00:11Z
18pKeNz8iJk,カタオモイ(Kataomoi)｜Suha (cover) 【歌ってみた】,민수하 / Suha Min 【NIJISANJI KR】,2020-02-14T11:00:12Z
1EMLZj9PhHM,【Pearly Shells Cover】Oceashell Vtuber Ending Song,Oceane Otoishi Ch. 音衣詩おしあん【kawaii】,2022-12-25T17:15:08Z
1-fknPDtE9Y,Life Goes On - 有坂美香 // covered by 凪原涼菜,凪原涼菜 / SUZUNA NAGIHARA,2023-05-03T10:00:01Z
1JGLMnfr67c,【一周年紀念】愛言葉Ⅳ【歌ってみた】｜covered by Rumi懶貓子,Rumi ch. 懶貓子,2022-08-06T10:00:08Z
1BzPr1miws8,Fallen - EGOIST ( Cover ) / VESPERBELL ヨミ,VESPERBELL,2022-01-13T11:00:00Z
1BFBHblJ0A0,【歌ってみた】爆弾 covered by 花譜,花譜,2020-07-18T09:00:18Z
15c5515cDT8,ミミッキュのうた(Mimikyu's Song)byツナツナ,猫舐つな,2020-02-28T15:45:26Z
1C7hyuDntfE,ディアハイヒール / 中島健人 (covered by 緑仙),緑仙channel,2020-08-13T14:00:11Z
1DVNUwMrsFA,Gen Hoshino “Koi” Cover 恋 ft. Rin,Bao Ch. 海の幽霊,2017-10-01T22:19:40Z
1KUZHKI-BDk,ロウワー / 星街すいせい(cover),Suisei Channel,2022-02-01T09:00:12Z
1LXI4XsKPAs,ライオン (Lion) -  May'n 中島愛  // covered by 道明寺ここあ×芦澤 サキ,COCOA CHANNEL,2020-07-27T10:00:01Z
1Ejf88Ovb5s,ロキ / みきとP (covered by 緑仙),緑仙channel,2018-06-23T04:53:30Z
1K-Dq0gLlb4,もしも・・・(リビルド.ver)/モベキマス（シスター・クレア LIVE cover）,シスター・クレア -SisterClaire-,2021-10-16T12:00:17Z
1CaG8DhNcy0,フリィダム ロリィタ 文野環×家長むぎ×夕陽リリ×森中花咲 cover,森中花咲,2021-02-14T12:00:13Z
1EZPshZYjsY,【歌ってみた】ハルノヒ Covered by 獅子神レオナ【あいみょん 】,獅子神レオナ/レオナちゃんねる,2020-01-10T12:00:01Z
1HZoXIpUfwM,I beg you - Aimer // covered by 凪原涼菜,凪原涼菜 / SUZUNA NAGIHARA,2022-03-02T10:00:25Z
1MAALfsjmSM,HoneyWorks-ファンサ 歌ってみた【亜玖魔サキ】,Saki Ch.亜玖魔サキ,2021-08-18T14:00:11Z
1GIDtjBGXe4,マーシャル・マキシマイザー ：歌ってみた：麻婆豆腐,麻婆豆腐,2022-07-23T05:13:29Z
1IIX8hBvVuY,ロキ / AZKi × 桃鈴ねね (Cover),AZKi Channel,2022-04-10T11:00:11Z
1PE2u_P-ucM,Overdose - なとり (covered by 稀羽すう) 【歌ってみた】,稀羽すう - Suu Usuwa -,2022-11-24T13:00:10Z
